,Catalog_ID,program_name,program_code,Credits,Prereqs,Coreqs,Fees,Description
0,PH 0224,,,,,,,
1,SA 0140,,,,,,,
2,CO 0350,,,,,,,
3,CO 0352,,,,,,,
4,IS 0235,,,,,,,
5,BI 0399M,,,,,,,
6,PY 0281G,,,,,,,
7,CO 0559D,,,,,,,
8,SW 0482G,,,,,,,
9,RS 0299D,,,,,,,
10,PY 0281H,,,,,,,
11,NS 0385A,,,,,,,
12,CS 0201,,,,,,,
13,FE 0002,,,,,,,
14,CS 0320,,,,,,,
15,FE 0001,,,,,,,
16,FE 0001,,,,,,,
17,MA 0495C,,,,,,,
18,AS 0405A,,,,,,,
19,PO 0190E,,,,,,,
20,CO 0559C,,,,,,,
21,FE 0002,,,,,,,
22,MD 0099,,,,,,,
23,FE 0001,,,,,,,
24,FE 0001,,,,,,,
25,CO 0248H,,,,,,,
26,BI 0107X,,,,,,,
27,SW 0202,,,,,,,
28,SW 0201,,,,,,,
29,SW 0205,,,,,,,
30,AC 0585B,,,,,,,
31,SL 0540A,,,,,,,
32,PY 0281C,,,,,,,
33,MA 0495B,,,,,,,
34,SE 0568A,,,,,,,
35,AY 0390A,,,,,,,
36,AY 0390B,,,,,,,
37,PH 0299D,,,,,,,
38,PO 0190G,,,,,,,
39,PO 0190F,,,,,,,
40,MD 0401A,,,,,,,
41,PH 0299C,,,,,,,
42,RS 0299C,,,,,,,
43,RS 0299C,,,,,,,
44,PO 0190E,,,,,,,
45,FE 0002,,,,,,,
46,SE 0500,,,,,,,
47,MD 0099,,,,,,,
48,MD 0099,,,,,,,
49,IS 0585C,,,,,,,
50,MD 0433,,,,,,,
51,EG 0410,,,,,,,
52,FTM 0106I,,,,,,,
53,FE 0001,,,,,,,
54,FE 0001,,,,,,,
55,FE 0001,,,,,,,
56,FE 0001,,,,,,,
57,FE 0001,,,,,,,
58,FE 0001,,,,,,,
59,FE 0001,,,,,,,
60,FE 0001,,,,,,,
61,FE 0001,,,,,,,
62,FE 0001,,,,,,,
63,FE 0001,,,,,,,
64,FE 0001,,,,,,,
65,FE 0001,,,,,,,
66,FE 0001,,,,,,,
67,PS 0015,,,,,,,
68,PS 0015L,,,,,,,
69,PS 0016,,,,,,,
70,PS 0016,,,,,,,
71,PS 0016L,,,,,,,
72,PS 0016L,,,,,,,
73,FT 0562,,,,,,,
74,MA 0019,,,,,,,
75,MU 0113,,,,,,,
76,SE 0441,,,,,,,
77,CN 0403A,,,,,,,
78,SA 0300,,,,,,,
79,SW 0202,,,,,,,
80,SW 0202,,,,,,,
81,SW 0201,,,,,,,
82,SW 0205,,,,,,,
83,BI 0381A,,,,,,,
84,BI 0383A,,,,,,,
85,AC 0585B,,,,,,,
86,TA 0300B,,,,,,,
87,CL 0199A,,,,,,,
88,BL 0100A,,,,,,,
89,PY 0281B,,,,,,,
90,MA 0495A,,,,,,,
91,SO 0390A,,,,,,,
92,FT 0568E,,,,,,,
93,PY 0281A,,,,,,,
94,MD 0401E,,,,,,,
95,PO 0190D,,,,,,,
96,MD 0403A,,,,,,,
97,ENW 0207C,,,,,,,
98,MG 0303B,,,,,,,
99,BI 0318,,,,,,,
100,BI 0318L,,,,,,,
101,ID 0395,,,,,,,
102,FTM 0109,,,,,,,
103,SE 0436,,,,,,,
104,SE 0436,,,,,,,
105,SW 0399,,,,,,,
106,FTM 0105B,,,,,,,
107,SE 0500,,,,,,,
108,NSAN 0679,,,,,,,
109,NSAN 0681,,,,,,,
110,MD 0099,,,,,,,
111,MD 0099,,,,,,,
112,MD 0433,,,,,,,
113,ECE 0485,,,,,,,
114,EE 0207,,,,,,,
115,ME 0425,,,,,,,
116,ME 0425,,,,,,,
117,EG 0410,,,,,,,
118,EG 0410,,,,,,,
119,FTM 0106H,,,,,,,
120,FTM 0106A,,,,,,,
121,FE 0001,,,,,,,
122,FE 0001,,,,,,,
123,FE 0001,,,,,,,
124,FE 0001,,,,,,,
125,FE 0001,,,,,,,
126,FE 0001,,,,,,,
127,FE 0001,,,,,,,
128,FE 0001,,,,,,,
129,FE 0001,,,,,,,
130,FE 0001,,,,,,,
131,FE 0001,,,,,,,
132,FE 0001,,,,,,,
133,FE 0001,,,,,,,
134,FE 0001,,,,,,,
135,SA 0010,,,,,,,
136,SW 0131,,,,,,,
137,SW 0131,,,,,,,
138,PS 0015,,,,,,,
139,PS 0015,,,,,,,
140,PS 0015,,,,,,,
141,PS 0015L,,,,,,,
142,PS 0015L,,,,,,,
143,PS 0016,,,,,,,
144,PS 0016,,,,,,,
145,PS 0016,,,,,,,
146,PS 0016,,,,,,,
147,PS 0016L,,,,,,,
148,PS 0016L,,,,,,,
149,ED 0523,,,,,,,
150,FT 0562,,,,,,,
151,MA 0019,,,,,,,
152,MA 0019,,,,,,,
153,MA 0019,,,,,,,
154,MU 0113,,,,,,,
155,MU 0113,,,,,,,
156,SA 0300,,,,,,,
157,SW 0327,,,,,,,
158,MA 0321,,,,,,,
159,SE 0441,,,,,,,
160,SA 0131,,,,,,,
161,BI 0381C,,,,,,,
162,FI 0585C,,,,,,,
163,SW 0202,,,,,,,
164,SW 0202,,,,,,,
165,SW 0201,,,,,,,
166,SW 0201,,,,,,,
167,SW 0204,,,,,,,
168,SW 0205,,,,,,,
169,PO 0190D,,,,,,,
170,BI 0381B,,,,,,,
171,BI 0381D,,,,,,,
172,MU 0200B,,,,,,,
173,PS 0390A,,,,,,,
174,EN 0200C,,,,,,,
175,AH 0290B,,,,,,,
176,MU 0200C,,,,,,,
177,FTM 0110A,,,,,,,
178,PH 0299B,,,,,,,
179,FT 0568C,,,,,,,
180,FTM 0107E,,,,,,,
181,FTM 0107A,,,,,,,
182,ASEN 0487,,,,,,,
183,ENW 0207B,,,,,,,
184,ENW 0207A,,,,,,,
185,MG 0303B,,,,,,,
186,BI 0318,,,,,,,
187,BI 0318L,,,,,,,
188,SW 0506,,,,,,,
189,FTM 0132,,,,,,,
190,SE 0436,,,,,,,
191,SW 0232,,,,,,,
192,FTM 0105A,,,,,,,
193,NSAN 0681,,,,,,,
194,MD 0099,,,,,,,
195,MD 0099,,,,,,,
196,ME 0425,,,,,,,
197,EG 0410,,,,,,,
198,FTM 0106B,,,,,,,
199,FE 0001,,,,,,,
200,FE 0001,,,,,,,
201,FE 0001,,,,,,,
202,FE 0001,,,,,,,
203,FE 0001,,,,,,,
204,FE 0001,,,,,,,
205,FE 0001,,,,,,,
206,FE 0001,,,,,,,
207,FE 0001,,,,,,,
208,FE 0001,,,,,,,
209,FE 0001,,,,,,,
210,FE 0001,,,,,,,
211,FE 0001,,,,,,,
212,FE 0001,,,,,,,
213,FE 0001,,,,,,,
214,FE 0001,,,,,,,
215,FE 0001,,,,,,,
216,FE 0001,,,,,,,
217,FE 0001,,,,,,,
218,FE 0001,,,,,,,
219,SA 0010,,,,,,,
220,PS 0015,,,,,,,
221,PS 0015,,,,,,,
222,PS 0015,,,,,,,
223,PS 0015L,,,,,,,
224,PS 0015L,,,,,,,
225,FT 0562,,,,,,,
226,SW 0151,,,,,,,
227,MA 0019,,,,,,,
228,MU 0113,,,,,,,
229,RS 0265,,,,,,,
230,CS 0377,,,,,,,
231,MA 0321,,,,,,,
232,SA 0131,,,,,,,
233,FI 0585C,,,,,,,
234,SW 0202,,,,,,,
235,SW 0201,,,,,,,
236,SW 0204,,,,,,,
237,SW 0382C,,,,,,,
238,FTM 0107D,,,,,,,
239,,,,,,,,
